date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:44:09	213099/213099	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2019:14:08%20GMT	https://csr.live/exchange	%1d/csrlive/csr.live/exchange.html	(from https://csr.live/)
00:44:10	12219/12219	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2019:14:09%20GMT	https://csr.live/sign-up	%1d/csrlive/csr.live/sign-up.html	(from https://csr.live/)
00:44:11	8734/8734	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2019:14:10%20GMT	https://csr.live/login	%1d/csrlive/csr.live/login.html	(from https://csr.live/)
00:44:12	9943/9943	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2019:14:11%20GMT	https://csr.live/token-sale-agreement	%1d/csrlive/csr.live/token-sale-agreement.html	(from https://csr.live/)
00:44:13	19678/19678	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2019:14:12%20GMT	https://csr.live/terms-of-use	%1d/csrlive/csr.live/terms-of-use.html	(from https://csr.live/)
00:44:14	25747/25747	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2019:14:13%20GMT	https://csr.live/privacy-policy	%1d/csrlive/csr.live/privacy-policy.html	(from https://csr.live/)
00:44:15	14034/14034	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2019:14:14%20GMT	https://csr.live/cookie-policy	%1d/csrlive/csr.live/cookie-policy.html	(from https://csr.live/)
00:44:16	14494/14494	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2019:14:15%20GMT	https://csr.live/disclaimer	%1d/csrlive/csr.live/disclaimer.html	(from https://csr.live/)
00:44:17	21674/21674	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2019:14:16%20GMT	https://csr.live/support	%1d/csrlive/csr.live/support.html	(from https://csr.live/)
00:44:18	287630/287630	---MC-	200	added ('OK')	application/javascript	date:Thu,%2022%20Jul%202021%2019:14:17%20GMT	https://csr.live/assets/8/8f271511da/cfd4ba49/jquery.js	%1d/csrlive/csr.live/assets/8/8f271511da/cfd4ba49/jquery.js	(from https://csr.live/)
00:44:19	20934/20934	---MC-	200	added ('OK')	application/javascript	date:Thu,%2022%20Jul%202021%2019:14:18%20GMT	https://csr.live/assets/8/8f271511da/f91ab1e1/yii.js	%1d/csrlive/csr.live/assets/8/8f271511da/f91ab1e1/yii.js	(from https://csr.live/)
00:44:20	9507/9507	---MC-	200	added ('OK')	application/javascript	date:Thu,%2022%20Jul%202021%2019:14:19%20GMT	https://csr.live/assets/8/8f271511da/f91ab1e1/yii.gridView.js	%1d/csrlive/csr.live/assets/8/8f271511da/f91ab1e1/yii.gridView.js	(from https://csr.live/)
00:44:21	121653/121653	---MC-	200	added ('OK')	application/javascript	date:Thu,%2022%20Jul%202021%2019:14:20%20GMT	https://csr.live/assets/8/8f271511da/32384b8a/js/sweetalert-dev.js	%1d/csrlive/csr.live/assets/8/8f271511da/32384b8a/js/sweetalert-dev.js	(from https://csr.live/)
00:44:22	19033/19033	---MC-	200	added ('OK')	application/javascript	date:Thu,%2022%20Jul%202021%2019:14:21%20GMT	https://csr.live/assets/8/8f271511da/315641f9/js/popper.min.js	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/js/popper.min.js	(from https://csr.live/)
00:44:23	51039/51039	---MC-	200	added ('OK')	application/javascript	date:Thu,%2022%20Jul%202021%2019:14:22%20GMT	https://csr.live/assets/8/8f271511da/315641f9/js/bootstrap.min.js	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/js/bootstrap.min.js	(from https://csr.live/)
00:44:24	14916/14916	---MC-	200	added ('OK')	application/javascript	date:Thu,%2022%20Jul%202021%2019:14:23%20GMT	https://csr.live/assets/8/8f271511da/315641f9/js/owl.carousel.min.js	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/js/owl.carousel.min.js	(from https://csr.live/)
00:44:25	20947/20947	---MC-	200	added ('OK')	application/javascript	date:Thu,%2022%20Jul%202021%2019:14:24%20GMT	https://csr.live/assets/8/8f271511da/315641f9/js/jquery.magnific-popup.min.js	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/js/jquery.magnific-popup.min.js	(from https://csr.live/)
00:44:26	1313/1313	---MC-	200	added ('OK')	application/javascript	date:Thu,%2022%20Jul%202021%2019:14:25%20GMT	https://csr.live/assets/8/8f271511da/315641f9/js/scrollspy.min.js	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/js/scrollspy.min.js	(from https://csr.live/)
00:44:28	2532/2532	---MC-	200	added ('OK')	application/javascript	date:Thu,%2022%20Jul%202021%2019:14:26%20GMT	https://csr.live/assets/8/8f271511da/315641f9/js/jquery.easing.min.js	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/js/jquery.easing.min.js	(from https://csr.live/)
00:44:29	6000/6000	---MC-	200	added ('OK')	application/javascript	date:Thu,%2022%20Jul%202021%2019:14:28%20GMT	https://csr.live/assets/8/8f271511da/315641f9/js/jquery.simple-text-rotator.js	%1d/csrlive/csr.live/assets/8/8f271511da/315641f9/js/jquery.simple-text-rotator.js	(from https://csr.live/)
